run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
29,00:00:00.019,0,19,["b10"|"c16"|"c13"|"c23"|"c9"|"c12"|"b15"|"b16"|"c24"|"b18"|"c10"|"c15"|"c7"|"c14"|"b22"|"b21"|"a"|"c21"|"b13"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
30,00:00:00.022,0,44,["c3"|"b6"|"b1"|"c19"|"c2"|"b0"|"c11"|"c20"|"c5"|"c9"|"c15"|"c0"|"c22"|"c13"|"c17"|"c24"|"c16"|"c21"|"b9"|"b21"|"b3"|"b24"|"b12"|"b15"|"b4"|"b20"|"b10"|"a"|"b13"|"b11"|"c8"|"b22"|"b16"|"c4"|"c1"|"b18"|"b19"|"c23"|"b17"|"b7"|"b14"|"c10"|"c12"|"b8"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
31,00:00:00.018,0,6,["b20"|"b8"|"b1"|"b2"|"b12"|"c4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
32,00:00:00.017,0,7,["a"|"b6"|"c1"|"b16"|"b19"|"c20"|"c6"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
33,00:00:00.018,0,10,["c1"|"c8"|"b17"|"b19"|"c21"|"c0"|"b6"|"c19"|"b2"|"b16"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
34,00:00:00.018,0,14,["c9"|"c24"|"c15"|"b14"|"c10"|"c21"|"b16"|"b24"|"b22"|"c11"|"c14"|"c1"|"b23"|"b3"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
35,00:00:00.022,0,21,["b9"|"c11"|"c23"|"c13"|"c22"|"c3"|"c14"|"b0"|"b11"|"b13"|"b15"|"b3"|"b17"|"c17"|"c20"|"b16"|"c9"|"b23"|"c5"|"b21"|"c12"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
36,00:00:00.027,0,50,["c18"|"b21"|"c9"|"b1"|"c4"|"b9"|"c7"|"c12"|"b2"|"b24"|"b12"|"c11"|"b3"|"c23"|"c6"|"c20"|"b4"|"b22"|"c0"|"c2"|"b5"|"b0"|"c14"|"b8"|"c24"|"b23"|"c13"|"c16"|"a"|"b6"|"c8"|"c19"|"b14"|"c22"|"b20"|"b10"|"c15"|"c17"|"b11"|"b15"|"b7"|"b17"|"b18"|"c1"|"c3"|"b16"|"b13"|"c10"|"b19"|"c21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
37,00:00:00.019,0,35,["c11"|"c24"|"b14"|"c10"|"b8"|"c21"|"b20"|"c23"|"b11"|"b19"|"c19"|"b22"|"b4"|"c15"|"b18"|"c14"|"a"|"c16"|"b1"|"c18"|"b21"|"c6"|"c8"|"b9"|"b3"|"b16"|"b13"|"c2"|"c20"|"b5"|"c4"|"b17"|"b6"|"c3"|"c22"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
38,00:00:00.022,0,9,["b12"|"c6"|"b24"|"c3"|"c11"|"b11"|"b2"|"b23"|"b4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
39,00:00:00.032,0,46,["c8"|"b6"|"b22"|"c20"|"c19"|"b8"|"b9"|"c12"|"b10"|"c24"|"c16"|"b23"|"b21"|"b5"|"b24"|"c0"|"c6"|"c17"|"b14"|"b3"|"c4"|"b15"|"c7"|"c9"|"b17"|"b12"|"b20"|"c13"|"c10"|"b0"|"b11"|"c18"|"c23"|"b13"|"c15"|"b19"|"a"|"c11"|"b7"|"c14"|"c1"|"c22"|"b4"|"c2"|"b18"|"c21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
40,00:00:00.028,0,1,["b13"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
41,00:00:00.030,0,5,["c22"|"c9"|"c24"|"c13"|"c21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
42,00:00:00.036,0,4,["b2"|"b17"|"b19"|"b1"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
43,00:00:00.029,0,23,["b14"|"b7"|"c8"|"c12"|"b3"|"b21"|"b0"|"c0"|"c10"|"c23"|"c9"|"b12"|"b2"|"c24"|"c16"|"b4"|"c21"|"b11"|"c3"|"b22"|"c20"|"c22"|"b15"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
44,00:00:00.024,0,9,["c11"|"b9"|"c10"|"b10"|"b2"|"c5"|"c18"|"c22"|"b18"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
45,00:00:00.022,0,7,["c14"|"c5"|"b12"|"b15"|"b9"|"b17"|"c15"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
46,00:00:00.024,0,27,["c3"|"c21"|"b9"|"b19"|"b23"|"c22"|"c1"|"b10"|"c16"|"c0"|"c5"|"b18"|"c7"|"c11"|"b4"|"c18"|"b20"|"b1"|"c6"|"c24"|"c9"|"b11"|"c20"|"c14"|"c17"|"c23"|"b17"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
47,00:00:00.017,0,27,["c20"|"b19"|"c15"|"c2"|"b21"|"b13"|"c22"|"b0"|"c24"|"c8"|"c1"|"b15"|"b18"|"a"|"c14"|"b12"|"b14"|"b3"|"b9"|"b24"|"c9"|"c23"|"c5"|"b10"|"c4"|"c0"|"c21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
48,00:00:00.019,0,13,["b15"|"b0"|"b7"|"c15"|"c22"|"b2"|"b22"|"c1"|"c3"|"b6"|"c18"|"b1"|"c13"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
49,00:00:00.024,0,9,["c7"|"a"|"b4"|"b3"|"b1"|"c1"|"c3"|"c15"|"c11"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
50,00:00:00.024,0,0,[],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
51,00:00:00.025,0,35,["b15"|"b7"|"c14"|"b2"|"c13"|"c10"|"c22"|"c20"|"b8"|"b20"|"b9"|"c8"|"c24"|"b10"|"c15"|"b13"|"b0"|"c17"|"c2"|"b19"|"c9"|"a"|"c11"|"c19"|"b21"|"b4"|"b12"|"b11"|"c0"|"c18"|"c6"|"b1"|"c21"|"b14"|"c7"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
52,00:00:00.017,0,17,["c13"|"c1"|"b9"|"b0"|"c4"|"c3"|"c20"|"b2"|"c22"|"b1"|"b7"|"c2"|"b14"|"c19"|"b12"|"c23"|"c0"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
53,00:00:00.017,0,5,["c10"|"c4"|"c12"|"b3"|"c2"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
54,00:00:00.026,0,10,["b3"|"b12"|"c19"|"b18"|"b7"|"c3"|"c24"|"b11"|"b21"|"c23"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
55,00:00:00.017,0,22,["c9"|"b5"|"c10"|"c23"|"b4"|"c20"|"c21"|"c5"|"c13"|"b21"|"b1"|"b6"|"b8"|"c24"|"c18"|"b11"|"c19"|"b23"|"c12"|"b16"|"a"|"b14"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
56,00:00:00.021,0,12,["b24"|"a"|"c17"|"b8"|"b21"|"c9"|"c23"|"c3"|"b23"|"c12"|"c18"|"c8"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
57,00:00:00.026,0,29,["c5"|"c10"|"b6"|"b22"|"b2"|"b4"|"c0"|"c22"|"b11"|"c11"|"c12"|"c7"|"c9"|"c6"|"c23"|"c17"|"b5"|"c14"|"c18"|"c16"|"b13"|"b24"|"c15"|"b18"|"b23"|"c13"|"b16"|"b7"|"b20"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
58,00:00:00.030,0,31,["c10"|"c5"|"c16"|"c14"|"c12"|"b20"|"c7"|"b22"|"b1"|"c2"|"c9"|"b15"|"c4"|"c11"|"c19"|"c22"|"b24"|"b18"|"b13"|"c3"|"b8"|"b16"|"b3"|"c8"|"c6"|"b9"|"c13"|"b2"|"b6"|"c21"|"c23"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
59,00:00:00.025,0,15,["c3"|"c19"|"b11"|"c17"|"c20"|"b0"|"b18"|"b16"|"b21"|"b6"|"b20"|"b14"|"b5"|"c14"|"c12"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
60,00:00:00.024,0,23,["c20"|"c18"|"b23"|"b5"|"b19"|"b14"|"b20"|"b15"|"c16"|"b9"|"b3"|"b4"|"b18"|"c15"|"c7"|"b1"|"c11"|"c6"|"b2"|"b21"|"b24"|"c21"|"c19"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
61,00:00:00.026,0,28,["b12"|"b22"|"b3"|"b4"|"b16"|"c14"|"c3"|"c15"|"c9"|"c6"|"b10"|"c16"|"c19"|"c24"|"c11"|"b24"|"c2"|"c12"|"b8"|"b18"|"c17"|"b7"|"c23"|"b21"|"b11"|"c22"|"c13"|"c4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
62,00:00:00.153,0,50,["c12"|"c3"|"b12"|"b11"|"b18"|"c17"|"c22"|"c7"|"b19"|"c16"|"c21"|"b14"|"c2"|"c6"|"c10"|"c9"|"c14"|"b7"|"a"|"b3"|"c18"|"b1"|"b23"|"b2"|"c19"|"b15"|"c4"|"b9"|"b24"|"c5"|"b13"|"c13"|"b20"|"b22"|"c11"|"c20"|"b17"|"c23"|"c24"|"b4"|"b5"|"c1"|"b6"|"b0"|"c15"|"b16"|"b21"|"c8"|"c0"|"b10"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
63,00:00:01.745,0,37,["b4"|"c4"|"c2"|"b1"|"b2"|"c20"|"b7"|"b17"|"c1"|"c9"|"c6"|"c15"|"a"|"c17"|"b3"|"c3"|"c10"|"b0"|"b8"|"c22"|"c23"|"b14"|"c18"|"b20"|"b21"|"c24"|"b23"|"b16"|"c12"|"b5"|"c16"|"c7"|"b12"|"c5"|"b6"|"b11"|"b15"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
