run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
28,00:00:00.166,0,45,["a"|"a12"|"a39"|"a26"|"a29"|"a48"|"a49"|"a7"|"a46"|"a18"|"a37"|"a17"|"a2"|"a16"|"a36"|"a35"|"a45"|"a22"|"a24"|"a6"|"a42"|"a4"|"a33"|"a27"|"a25"|"a15"|"a28"|"a11"|"a50"|"a47"|"a38"|"a5"|"a41"|"a21"|"a43"|"a20"|"a51"|"a3"|"a34"|"a32"|"a19"|"a13"|"a31"|"a40"|"a44"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
29,00:00:00.155,0,10,["a4"|"a1"|"a21"|"a18"|"a34"|"a27"|"a10"|"a38"|"a51"|"a46"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
30,00:00:00.158,0,32,["a4"|"a48"|"a39"|"a37"|"a5"|"a2"|"a49"|"a31"|"a9"|"a44"|"a36"|"a14"|"a29"|"a42"|"a"|"a7"|"a15"|"a8"|"a3"|"a46"|"a21"|"a47"|"a32"|"a41"|"a50"|"a20"|"a18"|"a35"|"a27"|"a38"|"a34"|"a13"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
31,00:00:00.167,1,8,["a6"|"a19"|"a29"|"a7"|"a23"|"a39"|"a8"|"a3"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
32,00:00:00.161,1,0,[],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
33,00:00:00.158,0,29,["a47"|"a2"|"a3"|"a29"|"a28"|"a10"|"a16"|"a46"|"a25"|"a21"|"a11"|"a17"|"a22"|"a34"|"a40"|"a14"|"a36"|"a42"|"a13"|"a18"|"a49"|"a4"|"a50"|"a5"|"a30"|"a38"|"a8"|"a"|"a19"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
34,00:00:00.166,0,34,["a28"|"a29"|"a44"|"a14"|"a21"|"a3"|"a31"|"a38"|"a17"|"a39"|"a37"|"a35"|"a18"|"a5"|"a27"|"a12"|"a"|"a51"|"a50"|"a47"|"a9"|"a32"|"a30"|"a25"|"a4"|"a7"|"a22"|"a10"|"a42"|"a11"|"a34"|"a1"|"a40"|"a2"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
35,00:00:00.184,0,47,["a36"|"a9"|"a48"|"a20"|"a45"|"a11"|"a16"|"a24"|"a12"|"a35"|"a8"|"a25"|"a17"|"a27"|"a2"|"a22"|"a7"|"a21"|"a43"|"a15"|"a4"|"a26"|"a38"|"a5"|"a49"|"a19"|"a39"|"a50"|"a44"|"a10"|"a47"|"a1"|"a6"|"a31"|"a28"|"a41"|"a32"|"a46"|"a23"|"a51"|"a34"|"a37"|"a29"|"a40"|"a3"|"a42"|"a33"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
36,00:00:00.158,1,1,["a12"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
37,00:00:00.160,0,50,["a19"|"a20"|"a24"|"a9"|"a39"|"a30"|"a22"|"a"|"a10"|"a49"|"a38"|"a23"|"a14"|"a13"|"a16"|"a37"|"a1"|"a34"|"a50"|"a45"|"a2"|"a28"|"a44"|"a46"|"a42"|"a47"|"a3"|"a51"|"a40"|"a4"|"a26"|"a32"|"a36"|"a43"|"a6"|"a11"|"a35"|"a29"|"a21"|"a27"|"a48"|"a15"|"a12"|"a7"|"a33"|"a17"|"a18"|"a25"|"a31"|"a41"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
