run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
39,00:00:00.005,0,49,["c14"|"b16"|"c6"|"b3"|"c3"|"b14"|"b19"|"b2"|"b10"|"b6"|"b8"|"a"|"b21"|"c12"|"b17"|"c24"|"c21"|"b15"|"b12"|"c17"|"b23"|"b13"|"c7"|"c1"|"b7"|"c22"|"c11"|"b5"|"c16"|"c0"|"c4"|"c10"|"c20"|"b1"|"b22"|"c8"|"b11"|"c9"|"b20"|"b24"|"b9"|"c15"|"b4"|"c19"|"c5"|"c2"|"c13"|"c18"|"c23"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
40,00:00:00.005,2,24,["b21"|"c8"|"c19"|"b24"|"b13"|"c7"|"b14"|"c10"|"b3"|"b12"|"c18"|"c13"|"c4"|"c2"|"c6"|"c9"|"b6"|"b1"|"c21"|"a"|"b10"|"b5"|"c20"|"b2"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
41,00:00:00.005,0,27,["c24"|"b23"|"c7"|"b20"|"c4"|"b24"|"b21"|"c1"|"b5"|"b12"|"c22"|"b19"|"c23"|"b0"|"c19"|"b13"|"c12"|"c15"|"b2"|"b22"|"b14"|"c14"|"c20"|"a"|"c2"|"c13"|"b9"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
42,00:00:00.005,0,6,["b6"|"b7"|"c8"|"a"|"b0"|"b11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
43,00:00:00.004,0,34,["a"|"b11"|"b17"|"c20"|"c17"|"c13"|"c3"|"c10"|"b12"|"b19"|"b23"|"c19"|"b16"|"c21"|"b18"|"b1"|"b4"|"b5"|"c2"|"c24"|"c5"|"b6"|"c1"|"b24"|"b13"|"b21"|"c0"|"c12"|"c8"|"b2"|"c4"|"c16"|"c18"|"c11"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
44,00:00:00.004,0,36,["c3"|"c11"|"b23"|"b1"|"b12"|"c13"|"c17"|"b21"|"c18"|"c20"|"b0"|"c19"|"c12"|"c8"|"b15"|"b6"|"b2"|"b14"|"c14"|"b22"|"c1"|"b7"|"b13"|"c4"|"b16"|"b10"|"b24"|"b11"|"c0"|"b18"|"b4"|"b3"|"c2"|"b20"|"c10"|"a"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
45,00:00:00.003,0,38,["c7"|"b14"|"c2"|"b4"|"c24"|"c19"|"b19"|"c18"|"b17"|"b11"|"b23"|"b24"|"b0"|"c11"|"c14"|"c13"|"c22"|"c4"|"c23"|"b20"|"b9"|"b8"|"b15"|"c5"|"c17"|"c20"|"b5"|"b21"|"c9"|"c10"|"b16"|"b12"|"b2"|"a"|"b6"|"b22"|"b10"|"b13"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
46,00:00:00.004,0,26,["c6"|"c20"|"b15"|"b19"|"c12"|"b12"|"c11"|"c24"|"b11"|"c7"|"c22"|"b5"|"b6"|"c17"|"b18"|"c23"|"c8"|"c1"|"b17"|"b3"|"b24"|"c19"|"c13"|"c14"|"b16"|"b7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
47,00:00:00.007,0,4,["b6"|"b2"|"c21"|"b23"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
48,00:00:00.003,0,6,["c2"|"b24"|"b10"|"b20"|"c4"|"c0"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
